Radnik,Pon,Uto,Sri,Cet,Pet,Sub,Ned
31188,I-GO,105,337,248,340,614,780
31189,I-GO,I-GO,I-GO,I-GO,I-GO,485,694
31192,150,150,152,152,150,O,Oz
31193,Oz,221,221,11,11,465,Oz
31194,266,323,323,323,Oz,Oz,769
31196,168,168,234,234,234,531,O
31198,I-BP,I-BP,I-BP,I-BP,I-BP,O,O
31199,262,261,262,262,262,O,745
31200,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31202,I-GO,I-GO,I-GO,I-GO,317,590,775
31203,85,85,85,85,O,449,449
31204,231,231,231,231,Oz,Oz,885
31206,79,79,79,378,O,79,647
31207,293,311,317,317,342,292,O
31208,152,152,150,150,222,475,O
31211,I-BP,I-BP,I-BP,I-BP,I-BP,O,O
31213,164,164,162,O,164,479,O
31215,314,O,314,314,314,589,O
31216,288,288,288,O,288,288,O
31218,106,102,O,106,106,797,O
31220,41,39,58,58,O,405,656
31221,32,32,32,O,107,421,634
31223,67,14,88,10,O,409,637
31224,167,Oz,239,171,213,483,O
31228,863,863,863,863,863,O,O
31229,169,171,171,213,233,Oz,Oz
31232,I-BP,I-BP,I-BP,I-BP,I-BP,O,O
31234,274,274,274,274,274,Oz,Oz
31236,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
31242,345,Oz,340,340,339,551,767
31244,130,134,13,130,13,O,O
31245,I-DK,293,293,298,263,579,O
31248,194,190,163,221,115,Oz,Oz
31249,198,200,201,201,191,193,O
31250,214,214,214,214,214,Oz,Oz
31251,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
31252,378,378,166,166,114,447,O
31253,I-GO,I-GO,I-GO,I-GO,43,377,660
31255,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31259,52,2,59,25,378,O,665
31260,304,283,283,304,O,Oz,887
31261,142,142,106,142,142,Oz,Oz
31262,30,30,30,30,123,Oz,Oz
31263,70,46,37,51,79,404,Oz
31267,83,83,83,83,83,Oz,O
31269,160,160,160,160,160,478,O
31270,I-GO,I-GO,I-GO,177,177,491,701
31271,306,266,267,302,302,598,O
31277,96,93,90,133,I-DK,O,O
31278,14,50,Oz,O,54,425,629
31279,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31286,270,I-GO,I-GO,I-GO,I-GO,Og,Og
31287,261,265,O,261,261,583,O
31288,859,859,859,859,859,523,O
31289,72,116,880,O,44,Oz,O
31290,877,O,877,92,17,416,883
31292,91,91,91,93,93,O,663
31293,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31294,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31295,I-GO,I-GO,I-GO,I-GO,304,602,778
31298,172,172,172,172,172,O,730
31300,80,80,I-BO,80,80,Oz,O
31301,46,47,47,47,47,47,O
31302,318,318,882,255,O,526,752
31303,881,255,344,881,I-GO,Og,Og
31308,I-BP,I-BP,I-BP,I-BP,I-BP,O,O
31309,291,O,255,277,258,Oz,Oz
31311,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
31314,338,338,338,O,338,569,O
31315,65,65,65,65,65,O,638
31316,1,O,70,81,81,468,O
31319,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31320,165,165,165,165,165,O,691
31323,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31324,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31325,54,O,80,12,73,471,O
31327,199,Oz,199,199,199,504,O
31328,O,189,188,I-DK,I-DK,501,712
31331,381,374,374,373,375,Oz,Oz
31332,355,355,355,355,355,O,613
31333,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31336,328,277,O,324,324,881,888
31337,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
31338,229,226,226,O,228,Oz,Oz
31339,115,133,11,115,34,452,O
31342,190,197,197,204,221,Oz,Oz
31343,218,216,218,218,218,O,721
31344,260,260,260,O,260,554,O
31347,95,64,22,18,18,O,O
31348,264,340,265,265,265,O,766
31349,68,68,60,Oz,60,437,O
31350,Oz,882,881,Oz,323,582,728
31352,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
31353,89,89,96,96,O,459,678
31354,81,81,81,15,15,408,O
31355,I-BP,I-BP,I-BP,I-BP,I-BP,O,O
31356,I-GO,I-GO,I-GO,216,244,539,733
31357,382,382,382,382,382,O,O
31359,144,144,144,144,144,O,O
31360,188,O,191,191,189,506,719
31361,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31367,182,O,182,245,182,495,O
31370,298,298,298,O,298,298,765
31371,319,319,319,319,319,O,O
31372,131,131,131,131,131,O,O
31373,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
31375,880,236,235,O,879,537,729
31377,133,13,133,13,133,O,O
31378,56,54,56,53,10,O,682
31379,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
31380,310,316,O,337,882,592,770
31381,I-BP,I-BP,I-BP,I-BP,I-BP,O,O
31382,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31383,40,56,46,60,61,442,O
31385,395,395,395,395,395,Oz,Oz
31386,316,257,334,331,334,882,O
31387,184,183,184,184,184,Oz,686
31390,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
31391,307,334,276,276,307,556,O
31392,281,280,280,280,O,525,525
31393,Oz,Oz,50,72,72,443,675
31398,O,95,95,95,Oz,412,679
31399,O,307,380,380,267,Oz,Oz
31401,220,337,220,220,220,O,722
31402,228,228,227,227,227,527,O
