brojSluzbe,linija,vr,nastupSluzbe,od,do,zavrsetakSluzbe
196,125,1,ČRN.,10:55,17:40,ČRN.
197,125,2,ČRN.,11:15,18:00,ČRN.
198,126,1,ČRN.,11:10,17:50,ČRN.
199,126,2,ČRN.,11:30,18:10,ČRN.
200,127,1,ČRN.,10:30,17:20,ČRN.
201,127,2,ČRN.,10:50,17:40,ČRN.
202,128,1,ČRN.,11:00,17:45,ČRN.
203,128,2,ČRN.,12:00,19:00,GAR.
204,128,4,ČRN.,11:25,18:20,ČRN.
205,129,1,KUNIŠ,11:05,18:05,KUNIŠ
206,129,2,GAR.,10:20,17:10,GAR.
207,,,,,,
208,131,1,ČRN.,10:45,17:45,ČRN.
209,131,2,ČRN.,11:15,18:05,GAR.
210,132,1,S.M.,10:50,17:30,S.M.
211,132,2,S.M.,11:25,18:05,S.M.
212,133,1,S.M.,11:15,17:50,S.M.
212,133,1,S.M.,18:25,19:50,GAR.
213,133,2,S.M.,11:45,18:35,S.M.
214,134,1,ČRN.,11:08,17:45,ČRN.
215,134,2,ČRN.,11:24,18:20,GAR.
216,134,3,ČRN.,11:40,18:15,ČRN.
217,135,1,ČRN.,11:00,17:45,ČRN.
218,136,1,ČRN.,11:15,17:55,ČRN.
219,136,2,ČRN.,12:22,18:12,ČRN.
220,136,3,ČRN.,10:59,17:36,ČRN.
221,137,1,ČRN.,08:10,14:55,ČRN.
222,138,1,BR.T.,12:45,19:45,BR.T.
223,139,1,GAR.,11:40,18:30,GAR.
224,140,1,MIHAL,13:50,18:25,MIHAL
224,140,1,MIHAL,19:00,21:50,MIHAL
225,142,1,VRAP.,11:30,17:35,VRAP.
226,143,1,VRAP.,11:25,17:10,VRAP.
227,146,1,RELJ.,11:40,18:40,RELJ.
228,146,2,RELJ.,10:53,17:53,RELJ.
229,146,3,RELJ.,11:17,18:17,RELJ.
230,151,1,ČRN.,14:30,20:00,GAR.
231,159,2,S.M.,11:10,18:10,S.M.
232,160,1,S.M.,10:45,12:15,S.M.
232,160,1,S.M.,12:45,18:45,S.M.
233,160,2,S.M.,12:15,19:15,GAR.
234,161,1,S.M.,11:30,18:30,S.M.
235,161,2,S.M.,09:55,11:30,S.M.
235,161,2,S.M.,12:15,18:00,S.M.
236,162,1,S.M.,10:50,17:50,S.M.
237,163,1,S.M.,11:20,17:40,S.M.
238,164,2,S.M.,11:50,18:50,GAR.
