Radnik,Pon,Uto,Sri,Cet,Pet,Sub,Ned,Tjedan_U_Godini,Godina
03332,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
03338,33,33,33,33,33,420,O,20,2024
03339,343,343,343,343,343,O,723,20,2024
03351,I-DK,I-DK,855,855,855,492,O,20,2024
03354,315,315,315,315,315,O,725,20,2024
03355,383,383,383,383,383,O,809,20,2024
03374,200,Oz,Oz,200,200,541,732,20,2024
03376,382,382,382,382,382,O,O,20,2024
03382,95,95,95,O,O,411,639,20,2024
03396,303,303,303,O,303,581,769,20,2024
03409,64,64,64,64,64,Oz,Oz,20,2024
03414,40,40,40,40,40,O,O,20,2024
03416,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
03437,871,871,871,871,871,Oz,Oz,20,2024
03449,I-BO,230,882,313,308,602,O,20,2024
03452,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
03468,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
03470,287,287,287,287,287,Oz,Oz,20,2024
03472,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
03474,196,196,196,196,O,543,709,20,2024
03478,2,2,2,2,2,Oz,O,20,2024
03479,1,1,1,1,1,Oz,Oz,20,2024
03486,Oz,Oz,187,187,187,513,693,20,2024
03488,90,90,88,88,88,O,O,20,2024
03490,288,288,O,288,288,571,O,20,2024
03505,73,73,73,73,73,O,670,20,2024
03508,248,202,242,243,242,O,O,20,2024
03513,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
03517,245,245,245,245,245,O,O,20,2024
03529,173,173,173,173,173,O,O,20,2024
03536,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
03540,I-GO,I-GO,21,21,21,O,679,20,2024
03544,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
03554,28,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
03560,208,208,208,208,208,521,O,20,2024
03561,852,852,852,852,852,O,804,20,2024
03582,18,18,18,O,18,O,O,20,2024
03585,87,87,87,87,87,O,640,20,2024
03587,98,98,98,98,O,444,Oz,20,2024
03595,299,299,299,299,299,Oz,Oz,20,2024
03603,169,169,169,169,Oz,Oz,729,20,2024
03607,151,151,151,151,151,O,710,20,2024
03609,153,153,153,153,153,O,702,20,2024
03621,163,163,334,271,O,573,686,20,2024
03623,296,296,296,296,296,O,764,20,2024
03627,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
03628,269,269,269,331,O,595,696,20,2024
03629,274,274,O,274,274,564,O,20,2024
03631,250,250,250,250,250,542,O,20,2024
03636,O,O,O,374,352,611,786,20,2024
03638,I-PN,I-PN,I-PN,I-PN,I-PN,O,O,20,2024
03639,38,38,38,38,38,O,O,20,2024
03649,34,34,34,34,34,O,642,20,2024
03654,I-GO,I-GO,I-GO,193,193,192,O,20,2024
03656,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
03657,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
03659,236,236,236,236,236,O,O,20,2024
03660,141,141,141,141,141,O,O,20,2024
03670,199,199,199,O,199,508,O,20,2024
03673,42,42,42,42,42,407,O,20,2024
03674,312,312,312,312,Oz,Oz,766,20,2024
03683,339,339,339,339,339,604,O,20,2024
03685,63,63,O,O,63,461,O,20,2024
03686,I-PN,I-PN,I-PN,I-PN,I-PN,O,O,20,2024
03691,O,225,225,225,225,450,Oz,20,2024
03696,26,28,28,O,O,418,641,20,2024
03698,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
03699,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
03700,300,300,300,O,300,798,O,20,2024
03705,285,285,285,285,285,O,745,20,2024
03706,88,88,89,89,89,456,O,20,2024
03709,4,4,4,4,4,404,O,20,2024
03711,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
03713,I-PD,31,123,31,123,O,O,20,2024
03717,382,382,382,382,382,O,O,20,2024
03718,37,37,37,37,37,Oz,O,20,2024
03725,57,57,57,57,Oz,O,659,20,2024
03726,100,100,O,48,48,424,O,20,2024
03734,175,175,175,175,175,O,O,20,2024
03747,198,203,193,194,201,Oz,Oz,20,2024
03801,105,Oz,105,105,105,470,O,20,2024
03927,I-GO,174,174,174,174,488,O,20,2024
03958,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
03964,329,329,329,329,O,593,728,20,2024
04303,I-GO,46,46,46,46,46,O,20,2024
04415,305,305,305,O,305,532,O,20,2024
04498,122,122,122,122,122,O,O,20,2024
04601,I-GO,Oz,103,78,78,448,449,20,2024
05002,862,862,862,862,862,562,O,20,2024
05020,323,323,323,324,324,O,768,20,2024
05097,I-GO,89,90,90,91,464,O,20,2024
05144,331,331,O,323,323,597,O,20,2024
05176,877,877,67,O,O,463,802,20,2024
05238,235,O,92,92,O,460,O,20,2024
05324,I-GO,I-GO,55,60,60,445,634,20,2024
05337,29,29,29,29,29,O,O,20,2024
05347,284,284,284,284,284,O,O,20,2024
05348,41,41,41,41,41,O,653,20,2024
05365,243,243,I-GO,I-GO,I-GO,Og,Og,20,2024
05370,336,336,336,336,336,O,778,20,2024
05389,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
05410,344,344,344,O,344,606,O,20,2024
05423,I-GO,I-GO,I-GO,I-GO,I-GO,Oz,Oz,20,2024
05441,282,282,O,309,309,579,758,20,2024
05449,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
05621,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
05984,297,297,297,297,297,O,O,20,2024
05996,263,263,263,263,263,O,771,20,2024
05998,205,205,205,205,205,205,O,20,2024
06485,31,96,31,O,77,880,799,20,2024
06486,69,84,14,O,84,440,O,20,2024
06558,47,47,O,47,47,47,654,20,2024
07669,74,74,O,74,74,423,Oz,20,2024
08333,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
09539,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
09767,25,25,25,25,25,417,O,20,2024
30001,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31001,89,93,93,91,95,457,O,20,2024
31004,143,143,143,143,143,O,O,20,2024
31008,307,334,309,O,340,288,743,20,2024
31014,27,27,27,27,27,O,700,20,2024
31016,62,62,62,62,62,O,O,20,2024
31019,234,240,O,234,234,536,O,20,2024
31020,301,301,301,301,301,580,O,20,2024
31022,78,78,78,11,Oz,Oz,Oz,20,2024
31023,101,101,101,108,104,O,O,20,2024
31025,I-PN,I-PN,I-PN,I-PN,I-PN,O,O,20,2024
31026,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31027,I-GO,I-GO,I-GO,I-GO,142,O,O,20,2024
31029,857,857,857,857,857,O,O,20,2024
31030,O,351,351,351,351,O,806,20,2024
31031,856,856,856,856,856,O,O,20,2024
31034,861,861,861,861,861,490,O,20,2024
31035,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31039,I-GO,I-GO,I-GO,93,93,458,O,20,2024
31041,16,39,51,O,50,O,655,20,2024
31045,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31047,I-BP,I-BP,I-BP,I-BP,I-BP,O,O,20,2024
31049,O,20,66,O,20,459,O,20,2024
31053,319,319,O,319,319,590,O,20,2024
31055,382,382,382,382,382,O,O,20,2024
31056,222,222,222,222,222,O,687,20,2024
31057,52,52,O,52,52,52,O,20,2024
31063,257,257,257,257,257,Oz,703,20,2024
31064,72,223,O,85,O,468,649,20,2024
31068,327,327,327,327,O,582,748,20,2024
31070,I-DK,I-DK,I-BP,I-BP,I-BP,O,O,20,2024
31071,36,36,36,36,Oz,422,644,20,2024
31072,321,321,321,321,321,592,O,20,2024
31073,99,O,77,77,16,408,636,20,2024
31075,96,21,Oz,20,92,409,O,20,2024
31076,51,53,53,53,O,434,O,20,2024
31081,71,71,71,71,71,437,O,20,2024
31082,48,56,Oz,99,99,429,O,20,2024
31084,I-BP,I-BP,I-BP,I-BP,I-BP,O,O,20,2024
31085,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31086,I-DK,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31087,262,262,262,262,262,555,O,20,2024
31089,I-GO,I-GO,I-GO,I-GO,I-GO,594,746,20,2024
31092,I-GO,I-GO,I-GO,I-GO,I-GO,509,713,20,2024
31094,261,261,261,261,261,Oz,Oz,20,2024
31095,Oz,189,189,Oz,204,512,733,20,2024
31096,132,132,I-DK,I-DK,Oz,O,682,20,2024
31097,268,268,O,268,268,O,776,20,2024
31099,10,10,10,10,Oz,Oz,675,20,2024
31101,273,Oz,273,273,273,Oz,750,20,2024
31102,217,217,217,Oz,217,518,720,20,2024
31103,293,O,290,340,276,588,760,20,2024
31104,266,266,266,266,I-GO,Og,Og,20,2024
31108,853,853,853,853,853,Oz,Oz,20,2024
31110,I-GO,I-GO,I-GO,I-GO,I-GO,583,805,20,2024
31112,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31114,294,294,294,294,294,O,763,20,2024
31115,277,277,277,277,277,563,O,20,2024
31117,93,67,22,877,O,O,677,20,2024
31118,22,19,19,18,O,O,884,20,2024
31119,I-GO,256,256,256,256,552,O,20,2024
31120,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31123,184,184,184,184,184,586,Oz,20,2024
31124,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31125,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31126,82,82,82,82,82,Oz,674,20,2024
31127,221,97,11,35,98,O,O,20,2024
31128,97,O,97,97,I-DK,O,O,20,2024
31129,246,Oz,233,233,233,O,717,20,2024
31131,209,209,209,209,209,544,Oz,20,2024
31137,855,855,238,238,238,O,O,20,2024
31138,247,247,247,247,247,545,O,20,2024
31143,313,313,320,I-DK,I-DK,Oz,Oz,20,2024
31144,46,O,O,51,106,467,Oz,20,2024
31147,Oz,291,291,295,295,291,773,20,2024
31148,276,276,276,O,278,565,O,20,2024
31149,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31152,I-GO,I-GO,I-GO,I-GO,I-GO,485,886,20,2024
31157,210,210,210,211,O,529,730,20,2024
31158,224,224,224,O,O,524,524,20,2024
31159,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31163,271,271,271,282,260,O,O,20,2024
31164,43,54,52,O,11,443,O,20,2024
31165,334,290,O,334,264,553,749,20,2024
31169,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31170,39,60,102,100,15,Oz,448,20,2024
31173,854,854,854,854,854,O,O,20,2024
31175,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31176,59,59,Oz,59,132,O,O,20,2024
31177,230,280,264,265,O,557,775,20,2024
31178,I-GO,I-GO,I-GO,228,228,481,731,20,2024
31179,53,55,70,102,102,431,O,20,2024
31181,290,246,340,276,Oz,575,740,20,2024
31183,382,382,382,382,382,O,O,20,2024
31184,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31185,863,863,863,863,863,O,O,20,2024
31186,308,308,308,308,O,Oz,772,20,2024
31187,351,Oz,I-GO,I-GO,I-GO,Og,Og,20,2024
31188,I-DK,I-DK,39,248,39,Oz,780,20,2024
31189,240,234,237,237,O,O,697,20,2024
31192,150,150,150,150,Oz,475,701,20,2024
31193,103,221,221,221,221,Oz,Oz,20,2024
31194,I-DK,I-DK,I-BP,I-BP,I-BP,O,O,20,2024
31196,168,167,O-LR,O,O,534,694,20,2024
31198,I-BP,I-BP,877,66,67,Oz,638,20,2024
31199,309,304,304,291,291,Oz,753,20,2024
31200,I-GO,Oz,333,333,333,605,761,20,2024
31202,289,289,O,289,289,Oz,762,20,2024
31203,85,85,O,O,85,402,666,20,2024
31204,172,172,172,172,172,O,O,20,2024
31206,Oz,106,13,Oz,10,433,652,20,2024
31207,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31208,152,152,152,152,152,O,688,20,2024
31211,I-BP,I-BP,288,260,281,568,752,20,2024
31213,206,206,206,244,206,474,O,20,2024
31215,129,129,129,Oz,137,601,770,20,2024
31216,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31218,Oz,35,35,84,107,453,Oz,20,2024
31220,70,70,O,70,70,Oz,Oz,20,2024
31221,84,O,48,50,103,79,646,20,2024
31223,67,48,59,O,22,405,O,20,2024
31224,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31228,859,859,859,859,859,O,680,20,2024
31229,231,231,240,240,240,530,O,20,2024
31232,881,881,325,325,327,O,887,20,2024
31234,272,272,Oz,272,272,Oz,673,20,2024
31236,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31242,338,O,338,338,338,Oz,767,20,2024
31244,21,16,16,14,Oz,Oz,657,20,2024
31245,295,295,295,290,282,Oz,Oz,20,2024
31248,187,Oz,216,217,248,539,O,20,2024
31249,201,201,198,198,215,520,O,20,2024
31250,215,215,215,215,198,517,O,20,2024
31251,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31252,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31253,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31255,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31259,81,69,O,O,101,442,681,20,2024
31260,292,292,292,292,I-DK,O,O,20,2024
31261,I-DK,I-DK,30,30,30,416,O,20,2024
31262,12,26,26,26,26,415,O,20,2024
31263,56,102,106,15,O,436,669,20,2024
31267,55,51,72,81,130,O,O,20,2024
31269,137,115,O,O,223,523,712,20,2024
31270,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31271,882,882,O,326,326,559,777,20,2024
31277,I-DK,O,91,96,96,439,O,20,2024
31278,Oz,O,54,54,55,O,O,20,2024
31279,I-GO,116,116,116,116,O,711,20,2024
31286,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31287,318,318,318,318,318,587,O,20,2024
31288,860,860,860,860,860,O,O,20,2024
31289,Oz,43,61,16,51,465,627,20,2024
31290,144,O,47,101,53,877,O,20,2024
31292,91,30,96,23,23,Oz,Oz,20,2024
31293,I-GO,I-GO,255,344,312,572,O,20,2024
31294,I-GO,I-GO,I-GO,I-GO,I-GO,482,678,20,2024
31295,333,310,272,O,881,603,888,20,2024
31298,213,213,213,213,213,O,885,20,2024
31300,79,79,79,79,79,Oz,O,20,2024
31301,80,80,80,80,80,O,672,20,2024
31302,255,335,335,335,O,526,706,20,2024
31303,I-GO,Oz,I-DK,I-DK,I-GO,Og,Og,20,2024
31308,I-BP,I-BP,I-BP,17,17,419,O,20,2024
31309,Oz,338,319,311,292,292,755,20,2024
31311,123,133,162,242,313,540,O,20,2024
31314,381,381,381,381,381,381,O,20,2024
31315,65,65,65,65,66,Oz,Oz,20,2024
31316,14,14,O,I-BP,I-BP,O,O,20,2024
31319,I-GO,I-GO,293,293,293,577,O,20,2024
31320,165,165,165,165,165,O,692,20,2024
31323,I-GO,I-GO,244,379,379,447,803,20,2024
31324,I-GO,I-GO,I-BP,I-BP,I-BP,O,O,20,2024
31325,60,105,60,106,100,Oz,Oz,20,2024
31327,193,194,195,201,202,O,O,20,2024
31328,160,164,166,179,O,O,707,20,2024
31331,354,307,307,307,334,556,O,20,2024
31332,355,355,355,O,O,614,613,20,2024
31333,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31336,326,I-DK,I-DK,I-BP,I-BP,O,O,20,2024
31337,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31338,134,134,134,134,134,O,O,20,2024
31339,92,22,63,12,90,O,883,20,2024
31342,180,180,180,203,181,494,O,20,2024
31343,226,226,226,226,226,O,O,20,2024
31344,I-BP,I-BP,I-BP,I-BP,I-BP,O,O,20,2024
31347,66,66,O,63,65,412,O,20,2024
31348,281,281,281,281,280,O,O,20,2024
31349,15,72,15,O,35,426,Oz,20,2024
31350,399,399,399,399,399,O,O,20,2024
31352,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31353,211,235,O,22,O,438,676,20,2024
31354,83,83,83,83,83,Oz,647,20,2024
31355,I-BP,I-BP,85,123,28,425,635,20,2024
31356,Oz,160,160,160,160,478,O,20,2024
31357,382,382,382,382,382,O,O,20,2024
31359,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31360,186,O,186,186,192,506,O,20,2024
31361,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31367,220,Oz,220,220,220,538,714,20,2024
31370,298,298,O,O,298,298,765,20,2024
31371,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31372,131,131,131,131,131,O,O,20,2024
31373,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31375,396,396,396,396,396,O,O,20,2024
31377,133,11,133,13,133,O,O,20,2024
31378,106,15,100,115,O,O,660,20,2024
31379,233,232,234,O,231,531,718,20,2024
31380,291,O,I-GO,I-GO,I-GO,Og,Og,20,2024
31381,I-BP,I-BP,I-BP,I-BP,I-BP,O,O,20,2024
31382,I-GO,317,317,317,317,591,O,20,2024
31383,Oz,81,81,O,81,403,648,20,2024
31385,391,391,391,391,391,Oz,Oz,20,2024
31386,310,326,326,332,325,882,O,20,2024
31387,195,195,197,197,197,Oz,716,20,2024
31390,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31391,265,265,265,O,265,554,744,20,2024
31392,256,260,O,255,255,Oz,754,20,2024
31393,Oz,12,12,Oz,12,432,658,20,2024
31398,I-BO,I-BO,267,269,269,598,O,20,2024
31399,384,384,384,384,384,380,O,20,2024
31401,218,Oz,218,218,218,510,O,20,2024
31402,179,179,179,O,179,493,704,20,2024
31406,I-GO,I-GO,O,43,43,421,645,20,2024
31407,I-GO,187,202,192,196,797,O,20,2024
31408,O,293,260,I-DK,I-DK,Oz,Oz,20,2024
31409,77,77,74,130,O,377,656,20,2024
31412,302,170,331,267,882,287,O,20,2024
31413,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31415,316,316,316,316,316,569,O,20,2024
31416,11,O,43,61,57,O,O,20,2024
31417,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31418,225,161,163,163,163,O,O,20,2024
31419,20,92,20,39,235,O,O,20,2024
31424,I-DK,I-DK,Oz,Oz,59,59,629,20,2024
31425,O,144,144,144,144,Oz,Oz,20,2024
31428,54,O,99,55,O,471,650,20,2024
31429,238,238,212,168,237,O,698,20,2024
31430,317,311,311,O,O,578,756,20,2024
31431,194,166,223,223,O,379,O,20,2024
31432,30,137,56,56,56,Oz,O,20,2024
31433,311,O,310,310,335,576,O,20,2024
31437,I-GO,I-GO,I-GO,I-GO,I-GO,Oz,Oz,20,2024
31438,I-DK,220,159,246,320,522,O,20,2024
31440,335,337,337,337,337,Oz,Oz,20,2024
31441,139,139,139,139,139,O,O,20,2024
31442,375,375,375,O,373,617,O,20,2024
31443,61,61,O,O,61,502,O,20,2024
31447,I-GO,I-GO,I-GO,162,244,449,661,20,2024
31448,I-GO,374,374,375,375,O,808,20,2024
31449,I-GO,I-GO,229,O,115,477,705,20,2024
31451,130,182,177,178,178,491,Oz,20,2024
31452,229,244,O,204,203,501,726,20,2024
31453,I-BP,I-BP,I-BP,I-BP,I-BP,O,O,20,2024
31454,68,68,68,69,69,O,668,20,2024
31455,393,393,393,393,393,Oz,Oz,20,2024
31457,392,392,392,392,392,Oz,Oz,20,2024
31458,280,340,280,280,290,584,O,20,2024
31459,340,309,230,O,230,Oz,724,20,2024
31461,142,142,142,142,I-DK,O,O,20,2024
31462,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31463,I-GO,I-GO,115,133,O,574,O,20,2024
31465,I-PD,I-PD,I-PD,180,180,496,Oz,20,2024
31466,102,99,84,O,36,451,O,20,2024
31467,140,140,140,140,140,O,O,20,2024
31468,135,135,135,135,135,O,O,20,2024
31469,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31470,170,O,132,I-DK,I-DK,Oz,Oz,20,2024
31471,264,333,881,881,I-GO,Og,Og,20,2024
31472,237,237,879,305,239,O,O,20,2024
31473,161,342,274,O,310,589,O,20,2024
31474,328,328,328,882,Oz,Oz,695,20,2024
31475,17,123,O,137,14,410,O,20,2024
31476,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
31478,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31479,I-GO,I-GO,I-GO,I-GO,I-GO,Oz,690,20,2024
31480,75,75,75,75,75,O,O,20,2024
31481,189,198,200,O,166,527,671,20,2024
31482,278,278,278,278,271,566,O,20,2024
31483,188,O,188,188,188,Oz,757,20,2024
31484,117,117,117,117,117,Oz,Oz,20,2024
31490,181,181,181,231,232,486,O,20,2024
31495,190,190,O,161,170,596,O,20,2024
31496,159,159,Oz,159,159,495,715,20,2024
31497,I-BP,I-BP,I-BP,I-BP,I-BP,O,O,20,2024
31498,214,214,214,216,216,519,O,20,2024
31499,879,879,232,O,169,479,721,20,2024
31514,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31516,166,178,O,239,167,487,O,20,2024
31517,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
31518,395,395,395,395,395,Oz,Oz,20,2024
31519,116,211,211,212,212,515,O,20,2024
31520,216,218,243,176,161,473,O,20,2024
31521,394,394,394,394,394,Oz,Oz,20,2024
31524,115,264,246,264,246,O,722,20,2024
31525,212,212,239,167,O,483,O,20,2024
31617,183,183,183,183,183,O,O,20,2024
32040,35,13,O,164,164,499,O,20,2024
32041,O,Oz,228,229,229,511,691,20,2024
32064,171,171,170,235,171,484,O,20,2024
32065,244,248,248,166,150,528,O,20,2024
32067,13,130,O,132,O,430,651,20,2024
32068,223,O,130,199,O,498,633,20,2024
32207,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
32208,203,216,231,879,879,489,O,20,2024
32209,239,239,168,170,332,O,800,20,2024
32211,242,228,Oz,300,243,454,Oz,20,2024
32212,185,200,182,O,329,500,O,20,2024
32213,228,229,164,230,176,198,O,20,2024
32214,232,233,167,232,168,879,O,20,2024
32215,182,242,161,182,182,507,Oz,20,2024
32216,I-DK,185,194,190,227,503,O,20,2024
3738824,136,136,136,136,136,O,O,20,2024
3787850,I-DK,186,185,185,185,480,O,20,2024
41026,197,197,O,189,189,504,O,20,2024
41089,O,255,289,286,286,Oz,759,20,2024
41091,227,O,235,206,13,452,O,20,2024
41095,176,176,176,177,177,561,O,20,2024
41102,138,138,138,138,138,O,O,20,2024
41300,I-GO,I-GO,I-GO,224,224,525,525,20,2024
41306,279,279,279,279,279,O,774,20,2024
41309,174,188,201,202,194,Oz,O,20,2024
41311,164,I-BP,I-BP,I-BP,I-BP,O,O,20,2024
41313,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
41316,I-BO,17,17,95,877,878,637,20,2024
41318,167,168,171,171,211,537,O,20,2024
41319,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
41322,58,58,58,58,58,Oz,Oz,20,2024
41324,204,204,204,214,214,Oz,719,20,2024
41331,50,50,50,O,72,427,667,20,2024
41339,O,273,286,I-DK,I-DK,O,O,20,2024
41340,3,3,3,3,3,O,628,20,2024
41343,337,227,I-BP,I-BP,I-BP,O,O,20,2024
41358,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
41377,286,286,298,298,307,Oz,779,20,2024
54198,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,20,2024
54545,19,91,137,19,19,O,664,20,2024
56179,202,193,203,181,162,516,O,20,2024
68397,32,32,32,32,32,406,Oz,20,2024
68724,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,20,2024
